"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2021-W21;80+;Forventet fuld effekt;3;249637;1,20
2021-W21;80+;Ikke vaccineret;0;12660;0,00
2021-W21;80+;Påbegyndt vaccinationsforløb;0;9468;0,00
2021-W22;12-15;Forventet fuld effekt;0;78;0,00
2021-W22;12-15;Ikke vaccineret;2;283454;0,71
2021-W22;12-15;Påbegyndt vaccinationsforløb;0;78;0,00
2021-W22;16-19;Forventet fuld effekt;0;3658;0,00
2021-W22;16-19;Ikke vaccineret;3;261996;1,15
2021-W22;16-19;Påbegyndt vaccinationsforløb;0;12511;0,00
2021-W22;20-39;Forventet fuld effekt;0;88746;0,00
2021-W22;20-39;Ikke vaccineret;44;1350369;3,26
2021-W22;20-39;Påbegyndt vaccinationsforløb;0;46184;0,00
2021-W22;40-64;Forventet fuld effekt;3;216327;1,39
2021-W22;40-64;Ikke vaccineret;65;929743;6,99
2021-W22;40-64;Påbegyndt vaccinationsforløb;18;759755;2,37
2021-W22;65-79;Forventet fuld effekt;2;566731;0,35
2021-W22;65-79;Ikke vaccineret;6;45320;13,24
2021-W22;65-79;Påbegyndt vaccinationsforløb;2;283133;0,71
2021-W22;80+;Forventet fuld effekt;5;252532;1,98
2021-W22;80+;Ikke vaccineret;1;12078;8,28
2021-W22;80+;Påbegyndt vaccinationsforløb;0;7155;0,00
2021-W23;12-15;Forventet fuld effekt;0;80;0,00
2021-W23;12-15;Ikke vaccineret;3;283440;1,06
2021-W23;12-15;Påbegyndt vaccinationsforløb;0;90;0,00
2021-W23;16-19;Forventet fuld effekt;0;4172;0,00
2021-W23;16-19;Ikke vaccineret;3;217183;1,38
2021-W23;16-19;Påbegyndt vaccinationsforløb;1;56810;1,76
2021-W23;20-39;Forventet fuld effekt;0;102654;0,00
2021-W23;20-39;Ikke vaccineret;28;1322730;2,12
2021-W23;20-39;Påbegyndt vaccinationsforløb;0;59914;0,00
2021-W23;40-64;Forventet fuld effekt;3;242315;1,24
2021-W23;40-64;Ikke vaccineret;52;703063;7,40
2021-W23;40-64;Påbegyndt vaccinationsforløb;19;960448;1,98
2021-W23;65-79;Forventet fuld effekt;3;613470;0,49
2021-W23;65-79;Ikke vaccineret;3;41731;7,19
2021-W23;65-79;Påbegyndt vaccinationsforløb;1;239983;0,42
2021-W23;80+;Forventet fuld effekt;2;253867;0,79
2021-W23;80+;Ikke vaccineret;1;11685;8,56
2021-W23;80+;Påbegyndt vaccinationsforløb;0;6213;0,00
2021-W24;16-19;Forventet fuld effekt;0;4513;0,00
2021-W24;16-19;Ikke vaccineret;3;153995;1,95
2021-W24;16-19;Påbegyndt vaccinationsforløb;0;119658;0,00
