"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
250;40-64;4538;2022-01-31
253;40-64;5884;2022-01-31
259;40-64;6037;2022-01-31
260;40-64;2898;2022-01-31
265;40-64;8806;2022-01-31
269;40-64;2622;2022-01-31
270;40-64;3880;2022-01-31
306;40-64;2076;2022-01-31
316;40-64;5946;2022-01-31
320;40-64;3185;2022-01-31
326;40-64;3471;2022-01-31
329;40-64;3178;2022-01-31
330;40-64;6148;2022-01-31
336;40-64;2142;2022-01-31
340;40-64;2224;2022-01-31
350;40-64;2718;2022-01-31
360;40-64;3089;2022-01-31
370;40-64;6829;2022-01-31
376;40-64;4870;2022-01-31
390;40-64;3561;2022-01-31
400;40-64;2540;2022-01-31
410;40-64;2645;2022-01-31
420;40-64;2559;2022-01-31
430;40-64;3362;2022-01-31
440;40-64;1638;2022-01-31
450;40-64;2340;2022-01-31
461;40-64;14555;2022-01-31
479;40-64;4172;2022-01-31
480;40-64;2147;2022-01-31
482;40-64;599;2022-01-31
492;40-64;232;2022-01-31
510;40-64;3715;2022-01-31
530;40-64;1693;2022-01-31
540;40-64;4483;2022-01-31
550;40-64;2243;2022-01-31
561;40-64;8334;2022-01-31
563;40-64;184;2022-01-31
573;40-64;3400;2022-01-31
575;40-64;2967;2022-01-31
580;40-64;3651;2022-01-31
607;40-64;3530;2022-01-31
615;40-64;6398;2022-01-31
621;40-64;6247;2022-01-31
630;40-64;8311;2022-01-31
657;40-64;6271;2022-01-31
661;40-64;4371;2022-01-31
665;40-64;1297;2022-01-31
671;40-64;1319;2022-01-31
706;40-64;2474;2022-01-31
707;40-64;1884;2022-01-31
710;40-64;3574;2022-01-31
727;40-64;1557;2022-01-31
730;40-64;6815;2022-01-31
740;40-64;6670;2022-01-31
741;40-64;140;2022-01-31
746;40-64;5241;2022-01-31
751;40-64;22793;2022-01-31
756;40-64;2750;2022-01-31
760;40-64;3278;2022-01-31
766;40-64;3166;2022-01-31
773;40-64;1317;2022-01-31
779;40-64;2939;2022-01-31
787;40-64;2533;2022-01-31
791;40-64;6638;2022-01-31
810;40-64;2406;2022-01-31
813;40-64;4126;2022-01-31
820;40-64;2516;2022-01-31
825;40-64;41;2022-01-31
840;40-64;2053;2022-01-31
846;40-64;3011;2022-01-31
849;40-64;2502;2022-01-31
851;40-64;13209;2022-01-31
860;40-64;4535;2022-01-31
;65-79;235;2022-01-31
011;65-79;22;2022-01-31
012;65-79;1;2022-01-31
019;65-79;3;2022-01-31
101;65-79;7799;2022-01-31
